Application area,Current evidence grade,Best usable claim,Weak assumption to test,Proof needed before final submission
Q27 Product/service,B,"Technology based, company specific interview rehearsal with CV plus JD analysis, prep packs, spoken practice and honest readiness feedback.","That users understand and value the full product in plain English, without it sounding like generic AI interview prep.",Mock product walkthrough with 5 target users. Ask them to repeat back what it does and what they would pay for.
Q31 Track record,C,"Founder has demonstrated product discipline, research discipline and ability to build and debug a real AI workflow.",That the founder story is strong enough without a conventional commercial or technical cofounder signal.,"Write a tight founder narrative with evidence of execution, domain insight, customer discovery and resilience."
Q33 Team/advisors,D,Solo founder with clear missing roles identified.,That New Frontiers will accept gaps if the plan to fill them is credible.,"Name at least 2 advisors or active mentor prospects, ideally technical AI, career services or HR, and commercial sales."
Q34 Startup/project experience,B minus,"There is evidence of project management through product build, architecture decisions, validation planning and disciplined scope control.",That this can be translated into business language rather than internal build history.,"Convert build history into milestones, risks resolved, decisions made and lessons learned."
Q35 Market opportunity,B minus,"Paid interview prep exists; paid online market is estimated around $0.5B, with IE plus UK early pool estimated around $25M.",IE plus UK SOM is thin and willingness to pay rate is the weakest sizing assumption.,"Refresh sources, verify public numbers, and collect primary evidence from 12 to 15 past payers."
Q37 Customers/value,B,"Segment A: candidates with a scheduled interview at a named company, who need company specific preparation quickly and affordably.",That this segment ranks company specificity above price and pays €49.,Past payer AJTBD interviews plus real landing page checkout test.
Q38 Competitors,B,Generic AI mock tools are crowded; human coaches own company specific prep; the proposed wedge is company specific plus honest scoring plus instant availability.,"Competitor data may be stale or secondary, and some claims need direct source verification.","Updated competitor table with prices, target customers, strengths, weaknesses and citations."
Q39 International potential,C plus,Ireland is a beachhead; UK gives a more credible early market; English language markets provide expansion logic.,International growth path is not yet validated by channels or CAC.,"Define sequence: Ireland tech hubs, UK tech candidates, then English speaking EU/US niches only after unit economics work."
Q40 Differentiation,B plus,"No competitor appears to hold all four: company specific, honest calibrated feedback, available immediately, affordable versus a coach.",Honest AI judging is both the differentiator and the trust risk.,Side by side comparison against ChatGPT and human coach alternative.
Q41 Business/revenue model,C plus,"Per cycle pricing around €49, later bundles or credits, low automated COGS if model costs are controlled.",CAC and LTV may not close because usage is episodic.,"Real checkout conversion, CAC test and actual model cost measurement."
Q42 Reference customers,D,"Potential reference customers can be named as prospects, not customers.",Market validation without paying users is weak for Phase 2.,"Secure 5 to 10 interviews, 3 LOIs or pilots, or 10 paid concierge cycles."
Q43 Milestones,B minus,"Research completed, segment map, competitor scan, risk register and validation plan; product build exists but voice reliability is unresolved.",Build progress may be less persuasive than customer evidence.,"Present milestones as learning milestones plus validation milestones, not just feature milestones."
Q44 Three year growth,C,"Can describe staged growth from concierge validation to automated consumer product, then B2B2C or UK expansion.",Revenue and hiring targets are not yet grounded.,"Conservative, base and stretch projections tied to conversion, ARPU, CAC and customer volumes."
Q45 Six month goals,A minus,"This is the strongest area: 6 week validation plan, then build or pivot decision, then product hardening and customer acquisition.",Goals must match New Frontiers two month review rhythm.,"Turn into month 2, month 4 and month 6 milestones with KPIs."
